annee,population_15_plus_milliers,population_active_milliers,emploi_milliers,chomage_milliers,taux_chomage_pct,taux_activite_pct,taux_emploi_pct
1993,582.2,343.2,299.9,43.3,12.6,58.9,51.5
1994,584.7,341.4,298.6,42.8,12.5,58.4,51.1
1995,587.2,347.2,307.5,39.7,11.4,59.1,52.4
1996,589.9,346.0,305.8,40.2,11.6,58.7,51.8
1997,592.6,354.9,310.1,44.8,12.6,59.9,52.3
1998,593.7,359.9,316.1,43.8,12.2,60.6,53.2
1999,595.8,362.5,325.7,36.8,10.2,60.8,54.7
2000,598.2,368.4,331.6,36.8,10.0,61.6,55.4
2001,599.7,371.1,330.0,41.1,11.1,61.9,55.0
2002,601.3,380.5,341.9,38.6,10.1,63.3,56.9
2003,603.4,380.6,341.7,38.9,10.2,63.1,56.6
2004,605.2,385.9,348.1,37.8,9.8,63.8,57.5
2005,606.4,383.5,346.5,37.1,9.7,63.2,57.1
2006,606.6,385.0,349.7,35.3,9.2,63.5,57.6
2007,607.8,387.8,357.8,30.0,7.7,63.8,58.9
2008,610.4,396.5,362.1,34.4,8.7,65.0,59.3
2009,614.0,397.5,361.9,35.6,9.0,64.7,58.9
2010,617.6,396.8,359.4,37.4,9.4,64.2,58.2
2011,621.0,395.0,356.9,38.1,9.6,63.6,57.5
2012,623.7,396.3,355.0,41.4,10.4,63.5,56.9
2013,624.9,399.3,357.6,41.7,10.4,63.9,57.2
2014,626.1,397.6,357.6,40.0,10.1,63.5,57.1
2015,627.0,394.4,354.8,39.6,10.0,62.9,56.6
2016,630.0,396.2,357.6,38.6,9.7,62.9,56.8
2017,633.1,392.8,360.1,32.7,8.3,62.0,56.9
2018,636.9,393.4,361.4,32.0,8.1,61.8,56.7
2019,642.7,395.9,363.6,32.3,8.2,61.6,56.6
2020,646.9,393.0,352.4,40.6,10.3,60.8,54.5
2021,650.8,400.3,363.5,36.8,9.2,61.5,55.9
2022,664.1,402.5,373.5,29.0,7.2,60.6,56.2
2023,683.4,413.6,386.5,27.1,6.6,60.5,56.6
