nom_geographique,type_region,population_2021,population_2016,variation_population_2016_2021_pct,logements_prives_2021,logements_prives_2016,variation_logements_prives_2016_2021_pct,logements_occupes_2021,logements_occupes_2016,variation_logements_occupes_2016_2021_pct,superficie_km2_2021,densite_population_km2_2021,classement_national_population_2021,classement_nb_population_2021
Bouctouche,TV,2513,2361,6.4,1188,1179,0.8,1094,1071,2.1,18.33,137.1,1190,57
Buctouche 16,IRI,101,96,5.2,44,40,10.0,44,39,12.8,0.38,266.6,4248,256
Carleton,P,764,708,7.9,413,404,2.2,359,332,8.1,435.23,1.8,2416,183
Cocagne,RCR,2757,2649,4.1,1430,1418,0.8,1214,1160,4.7,69.23,39.8,1110,52
Dundas,P,4332,3914,10.7,2569,2529,1.6,1908,1690,12.9,172.32,25.1,810,35
Harcourt,P,346,346,0.0,237,274,-13.5,170,165,3.0,1169.2,0.3,3360,232
Huskisson,P,5,15,-66.7,8,11,-27.3,5,7,-28.6,369.31,0.0,4760,264
Indian Island 284,IRI,116,153,-24.2,46,63,-27.0,45,59,-23.7,0.4,288.8,4192,255
Rexton,VL,874,830,5.3,446,428,4.2,396,364,8.8,6.29,138.9,2276,172
Richibucto4,P,2085,1872,11.4,1162,1130,2.8,947,842,12.5,249.21,8.4,1349,72
Richibucto,TV,1411,1266,11.5,704,719,-2.1,649,613,5.9,11.9,118.6,1730,110
Richibucto 154,IRI,2062,1942,6.2,787,768,2.5,765,751,1.9,15.38,134.1,1357,73
Saint Mary,P,1991,1972,1.0,956,969,-1.3,868,842,3.1,238.32,8.4,1385,77
Saint-Antoine,VL,1791,1733,3.3,779,764,2.0,743,727,2.2,6.32,283.6,1486,86
Saint-Charles,P,2024,1997,1.4,1025,1083,-5.4,916,887,3.3,175.07,11.6,1372,75
Saint-Louis,P,1760,1802,-2.3,797,785,1.5,748,727,2.9,258.65,6.8,1505,88
Saint-Louis de Kent,VL,981,856,14.6,452,442,2.3,424,395,7.3,1.98,494.6,2131,153
Saint-Paul,P,877,842,4.2,383,399,-4.0,369,339,8.8,228.41,3.8,2269,171
Weldford4,P,1335,1333,0.2,720,742,-3.0,620,596,4.0,607.56,2.2,1785,116
Wellington,P,3292,3079,6.9,1747,1716,1.8,1455,1319,10.3,184.8,17.8,974,45
