annee,remuneration_salaries_millions_cad,revenu_mixte_net_millions_cad,revenu_propriete_recu_millions_cad,transferts_courants_recus_millions_cad,revenu_total_millions_cad
1997,8813,1695,1981,3239,15728
1998,9252,1778,2078,3388,16496
1999,9848,1840,2215,3424,17327
2000,10513,1851,2293,3428,18085
2001,10629,1932,2241,3757,18559
2002,11174,1931,2121,3817,19043
2003,11692,1936,2028,3980,19636
2004,12252,2020,2036,4177,20485
2005,12703,2051,2159,4250,21163
2006,13310,2133,2319,4602,22364
2007,14258,2220,2519,5144,24141
2008,15274,2254,2561,5443,25532
2009,15502,2279,2400,5711,25892
2010,15936,2429,2383,5962,26710
2011,16569,2620,2466,6044,27699
2012,17033,2694,2548,6394,28669
2013,17465,2717,2546,6697,29425
2014,17968,2796,2568,6864,30197
2015,18027,2880,2632,7447,30987
2016,18287,2974,2759,7889,31909
2017,18827,3063,2884,8227,33001
2018,19567,3109,2856,8487,34019
2019,20146,3189,2978,8771,35084
2020,19921,3088,2905,10940,36854
2021,21442,3537,3069,10504,38552
2022,23642,3852,3305,10063,40862
